username,category,posts_per_week,follower_growth_rate_per_day,follow_follower_ratio,avg_likes_per_post,avg_comments_per_post,avg_time_between_posts_hrs,outbound_likes_per_day,outbound_comments_per_day
@user122,tech,3.2,54.2,0.23,4425,238,52.5,139,41
@user123,music,6.8,41.8,0.36,4644,234,24.7,253,29
@user124,art,5.6,87.0,0.6,2037,169,30.0,254,39
@user125,food,1.1,83.8,0.83,3191,107,152.7,169,25
@user126,travel,5.5,8.5,0.59,3502,105,30.5,207,4
@user127,music,6.9,4.6,0.95,4131,50,24.3,202,10
@user128,fashion,1.1,96.0,0.12,1644,204,152.7,52,9
@user129,fitness,1.9,46.5,0.42,3624,275,88.4,217,48
@user130,food,5.9,10.2,0.67,3085,256,28.5,296,19
@user131,food,4.5,42.4,0.89,2550,215,37.3,272,39
@user132,tech,3.8,67.2,0.65,3909,287,44.2,205,32
@user133,music,6.7,60.1,0.92,2698,53,25.1,206,14
@user134,fitness,6.7,57.3,0.36,2767,147,25.1,114,45
@user135,business,3.1,18.5,0.45,4617,31,54.2,27,32
@user136,fashion,5.4,13.5,0.93,1976,42,31.1,165,45
@user137,art,6.5,21.3,0.69,3703,142,25.8,19,19
@user138,fitness,3.4,10.1,0.11,2457,53,49.4,230,10
@user139,business,5.8,43.5,0.58,1062,142,29.0,136,3
@user140,art,4.4,74.8,0.67,453,183,38.2,225,27
@user141,fashion,6.8,18.0,0.17,3108,207,24.7,64,8
@user142,food,1.3,82.7,0.09,3808,243,129.2,18,2
@user143,art,3.3,92.8,0.62,4635,40,50.9,109,13
@user144,fashion,4.6,27.8,0.77,2561,119,36.5,171,9
@user145,food,1.6,39.4,0.27,2142,124,105.0,167,38
@user146,food,2.7,93.4,0.29,4848,158,62.2,92,40
@user147,fitness,6.1,76.9,0.57,3266,274,27.5,287,39
@user148,business,3.8,85.4,0.93,2425,115,44.2,210,43
@user149,business,4.0,39.8,0.33,2210,264,42.0,200,9
@user150,music,4.5,68.3,0.96,3345,296,37.3,52,14
@user151,travel,5.9,86.9,0.58,3021,91,28.5,77,29
@user152,music,4.2,73.7,0.18,1566,81,40.0,259,42
@user153,food,5.9,26.7,0.5,3679,40,28.5,190,19
@user154,fitness,2.1,14.4,0.42,2383,229,80.0,71,11
@user155,art,0.7,65.1,0.66,1286,34,240.0,152,14
@user156,art,3.5,59.0,0.32,4451,210,48.0,191,38
@user157,art,1.0,49.3,0.72,279,46,168.0,229,43
@user158,food,6.0,44.4,0.65,2401,29,28.0,145,33
@user159,art,4.9,35.9,0.15,2276,211,34.3,22,22
@user160,art,3.5,1.5,0.37,4425,214,48.0,286,41
@user161,business,5.3,57.9,0.69,1378,101,31.7,137,6
@user162,business,6.4,10.9,0.44,1745,26,26.2,232,12
@user163,travel,4.5,17.1,0.06,2818,103,37.3,206,20
@user164,art,4.8,70.7,0.77,1873,157,35.0,10,39
@user165,business,2.0,42.0,0.17,341,273,84.0,74,37
@user166,fashion,6.0,64.6,0.8,2510,12,28.0,224,11
@user167,fitness,0.8,51.8,0.73,2994,61,210.0,287,16
@user168,travel,2.0,91.9,0.44,4794,53,84.0,257,33
@user169,tech,0.6,78.2,0.73,4119,205,280.0,32,41
@user170,tech,6.9,63.4,0.23,4700,96,24.3,128,26
@user171,travel,1.6,24.7,0.06,1446,47,105.0,88,50
@user172,music,4.1,86.9,0.55,4134,155,41.0,13,11
@user173,food,6.9,78.9,0.28,4795,181,24.3,178,18
@user174,fashion,1.0,68.8,0.95,2257,279,168.0,13,49
@user175,travel,1.6,55.9,0.98,182,122,105.0,153,34
@user176,art,1.5,1.5,0.98,2090,294,112.0,144,16
@user177,fitness,6.3,32.7,0.72,3666,120,26.7,255,20
@user178,food,1.8,89.5,0.58,1040,282,93.3,114,11
@user179,business,3.8,78.2,0.65,556,170,44.2,291,24
@user180,music,2.3,64.5,0.27,938,165,73.0,50,23
@user181,food,5.3,32.0,0.84,2444,35,31.7,269,42
@user182,tech,0.9,42.3,0.25,3088,252,186.7,242,49
@user183,fashion,6.5,78.2,0.13,712,248,25.8,218,34
@user184,food,2.6,85.0,0.99,4195,105,64.6,246,32
@user185,fashion,6.3,48.2,0.58,2038,195,26.7,154,50
@user186,travel,4.0,6.5,0.98,3239,23,42.0,170,34
@user187,music,7.0,78.3,0.86,1839,208,24.0,185,33
@user188,business,6.6,97.8,0.32,389,18,25.5,190,28
@user189,music,1.4,93.7,0.93,4469,250,120.0,160,48
@user190,food,5.9,42.5,0.22,2768,131,28.5,169,36
@user191,travel,4.6,70.5,0.32,3714,151,36.5,59,2
@user192,business,5.6,35.0,0.46,503,72,30.0,75,36
@user193,fitness,1.4,15.9,0.36,1157,100,120.0,92,46
@user194,travel,5.7,28.1,0.36,2986,128,29.5,194,13
@user195,food,2.7,15.4,0.32,1085,150,62.2,118,37
@user196,food,1.0,8.7,0.32,2130,136,168.0,105,18
@user197,business,1.0,1.7,0.42,3892,144,168.0,36,44
@user198,fitness,6.7,59.1,0.46,121,176,25.1,192,33
@user199,travel,3.1,33.9,0.22,852,42,54.2,143,11
@user200,music,2.7,67.8,0.97,136,8,62.2,158,9
@user201,fashion,2.1,29.6,0.15,124,226,80.0,175,35
@user202,food,3.7,12.8,0.89,2455,184,45.4,53,15
@user203,tech,3.4,22.5,0.8,2696,123,49.4,291,35
@user204,tech,4.1,53.5,0.35,546,15,41.0,202,4
@user205,travel,1.0,61.1,0.14,2440,299,168.0,147,44
@user206,fitness,1.9,8.1,0.25,1151,40,88.4,88,7
@user207,music,5.1,76.4,0.75,3197,239,32.9,97,39
@user208,travel,3.2,11.0,0.64,651,87,52.5,238,37
@user209,travel,1.8,15.6,0.61,4397,8,93.3,212,18
@user210,travel,6.0,50.0,0.9,1906,295,28.0,233,33
@user211,fitness,6.8,60.6,0.96,3669,10,24.7,219,40
@user212,art,5.6,33.3,0.12,1943,233,30.0,246,2
@user213,music,4.3,8.0,0.74,2565,187,39.1,278,5
@user214,music,5.5,59.2,0.22,2722,253,30.5,263,28
@user215,fashion,6.1,10.9,0.43,3804,142,27.5,145,12
@user216,food,4.6,66.8,0.63,2758,50,36.5,203,42
@user217,fitness,5.5,53.3,0.17,2357,154,30.5,105,8
@user218,art,2.1,26.0,0.51,2572,90,80.0,133,30
@user219,food,5.7,15.4,0.7,559,71,29.5,88,2
@user220,travel,4.3,25.1,0.69,3510,222,39.1,99,10
@user221,music,1.5,33.0,0.12,1716,208,112.0,243,26
@user222,music,2.5,15.3,0.7,3395,63,67.2,77,44
@user223,fashion,3.3,1.5,0.14,3901,299,50.9,198,43
@user224,food,2.3,32.9,0.26,4895,149,73.0,141,19
@user225,travel,2.5,95.5,0.19,2836,91,67.2,246,49
@user226,art,3.4,79.6,0.97,342,138,49.4,114,4
@user227,food,2.0,28.7,0.92,4458,32,84.0,23,9
@user228,business,6.1,67.6,0.33,2890,17,27.5,204,28
@user229,travel,5.7,59.1,0.63,2761,58,29.5,77,38
@user230,tech,3.6,44.5,0.79,1776,194,46.7,146,40
@user231,tech,3.7,11.9,0.11,393,46,45.4,80,24
@user232,fitness,4.1,62.3,0.27,2106,218,41.0,51,40
@user233,music,3.1,55.8,0.63,2304,116,54.2,158,21
@user234,travel,3.7,81.1,0.27,1564,126,45.4,11,9
@user235,food,1.6,49.5,0.15,2567,20,105.0,22,32
@user236,music,0.8,93.4,0.59,1924,95,210.0,111,45
@user237,fitness,6.5,48.0,0.99,987,135,25.8,282,8
@user238,tech,2.6,74.6,0.9,894,264,64.6,263,36
@user239,tech,6.0,97.8,0.95,3518,136,28.0,165,4
@user240,music,1.5,81.0,0.62,628,212,112.0,255,36
@user241,art,6.5,66.1,0.86,4166,85,25.8,14,16
@user242,fashion,3.6,7.5,0.08,4102,69,46.7,268,21
@user243,business,7.0,53.2,0.94,1155,157,24.0,37,49
@user244,tech,2.7,62.8,0.76,2664,232,62.2,166,24
@user245,tech,6.2,65.6,0.36,195,188,27.1,20,31
@user246,fitness,5.5,25.0,0.21,2449,66,30.5,153,2
@user247,fitness,3.9,94.7,0.68,4301,33,43.1,114,32
@user248,fitness,0.7,42.6,0.44,742,270,240.0,142,5
@user249,food,2.0,3.4,0.94,673,262,84.0,49,19
@user250,fitness,5.7,56.1,0.96,2898,246,29.5,184,48
@user251,travel,3.4,65.6,0.56,2379,168,49.4,225,39
@user252,food,6.8,98.8,0.78,2931,211,24.7,155,45
@user253,fitness,4.7,2.4,0.28,2329,180,35.7,252,33
@user254,business,2.0,61.2,0.95,2796,33,84.0,236,44
@user255,tech,5.0,64.9,0.06,4563,109,33.6,175,11
@user256,food,5.6,52.2,0.72,1126,229,30.0,163,24
@user257,food,6.1,80.8,0.96,3941,66,27.5,211,11
@user258,travel,4.0,79.4,0.9,4653,143,42.0,247,19
@user259,fashion,5.3,69.7,0.85,3027,43,31.7,278,25
@user260,food,6.4,90.2,0.82,2647,57,26.2,37,3
@user261,food,1.1,14.2,0.5,2237,296,152.7,58,41
@user262,business,1.4,11.8,0.52,4034,269,120.0,130,31
@user263,fashion,5.5,9.3,0.75,2867,195,30.5,152,19
@user264,art,3.1,37.0,0.78,4983,24,54.2,50,47
@user265,art,1.6,81.7,0.32,3171,102,105.0,291,35
@user266,business,1.3,65.2,0.69,1914,154,129.2,119,33
@user267,art,1.7,41.5,0.28,1833,160,98.8,150,46
@user268,business,6.4,3.1,0.91,2350,272,26.2,76,49
@user269,business,3.3,24.2,0.12,1585,256,50.9,15,45
@user270,music,4.6,69.5,0.78,458,24,36.5,72,16
@user271,food,5.4,57.2,0.63,1732,254,31.1,137,24
@user272,fitness,1.8,75.9,0.55,3639,196,93.3,31,29
@user273,travel,3.4,18.1,0.73,654,153,49.4,148,18
@user274,travel,5.4,89.4,0.68,2544,207,31.1,255,48
@user275,tech,1.9,72.0,0.74,2477,237,88.4,47,48
@user276,art,1.7,82.7,0.84,1045,72,98.8,278,8
@user277,business,6.8,67.4,0.73,4330,276,24.7,191,34
@user278,business,3.7,57.1,0.7,1904,63,45.4,238,7
@user279,food,3.5,80.5,0.77,836,27,48.0,75,15
@user280,travel,2.6,37.2,0.67,1039,155,64.6,212,27
@user281,fitness,1.3,77.7,0.86,2586,173,129.2,109,34
@user282,music,2.5,8.9,0.67,2815,18,67.2,243,44
@user283,art,5.1,32.6,0.26,3201,228,32.9,102,12
@user284,fashion,5.6,11.1,0.33,3355,11,30.0,37,20
@user285,travel,0.8,47.7,0.83,3810,57,210.0,263,5
@user286,tech,1.4,51.3,0.42,1755,198,120.0,142,44
@user287,tech,5.6,83.8,0.19,2219,275,30.0,147,18
@user288,music,5.0,87.8,0.88,1898,191,33.6,194,42
@user289,tech,2.1,23.9,0.97,3297,283,80.0,125,30
@user290,fitness,6.7,3.2,0.87,1294,205,25.1,145,6
@user291,fitness,4.4,77.0,0.83,1869,146,38.2,181,18
@user292,tech,4.7,96.3,0.63,4594,138,35.7,167,30
@user293,tech,6.7,98.9,0.53,4355,70,25.1,25,36
@user294,fitness,6.4,1.8,0.34,3174,295,26.2,177,17
@user295,business,6.3,63.8,0.67,1232,292,26.7,53,43
@user296,fitness,0.9,32.6,0.95,4320,164,186.7,181,20
@user297,travel,1.5,90.6,0.54,4112,172,112.0,148,30
@user298,food,2.5,45.9,0.92,612,123,67.2,231,38
@user299,food,5.0,59.0,0.15,1157,12,33.6,209,22
@user300,art,0.8,55.8,0.46,4523,38,210.0,99,25
@user301,music,1.4,47.7,0.57,3684,134,120.0,153,14
@user302,business,1.8,21.9,0.25,2942,292,93.3,269,29
@user303,food,1.6,94.4,0.22,1121,200,105.0,278,11
@user304,travel,1.3,77.3,0.47,3297,124,129.2,44,50
@user305,fitness,1.1,40.2,0.99,4861,148,152.7,285,41
@user306,art,3.4,98.2,0.12,2753,64,49.4,185,43
@user307,business,3.5,14.2,0.82,881,187,48.0,121,50
@user308,fitness,2.1,57.9,0.81,1971,284,80.0,296,3
@user309,fitness,6.6,92.6,0.16,3335,211,25.5,30,41
@user310,tech,6.3,16.4,0.75,4201,128,26.7,268,38
@user311,travel,2.7,86.3,0.44,4860,240,62.2,288,10
@user312,tech,6.5,64.9,0.37,171,186,25.8,276,33
@user313,music,0.6,49.8,0.5,3809,74,280.0,62,2
@user314,travel,5.2,4.0,0.24,4871,59,32.3,23,14
@user315,tech,6.9,59.1,0.76,104,234,24.3,20,4
@user316,music,6.9,64.7,0.76,3818,251,24.3,60,44
@user317,art,6.1,63.9,0.27,3559,158,27.5,229,42
@user318,fitness,2.1,36.8,0.59,2460,31,80.0,86,9
@user319,business,3.8,54.6,0.21,1101,136,44.2,291,34
@user320,food,5.9,81.4,0.49,3575,75,28.5,101,37
@user321,music,1.1,81.5,0.6,3291,206,152.7,267,24
@user322,travel,6.4,61.6,0.67,2315,299,26.2,236,23
@user323,art,4.4,33.0,0.66,4525,236,38.2,138,32
@user324,food,1.3,29.6,0.94,4101,49,129.2,46,42
@user325,music,5.1,95.7,0.69,1224,191,32.9,238,28
@user326,tech,6.1,27.4,0.74,599,77,27.5,255,9
@user327,tech,6.4,10.1,0.9,2227,97,26.2,140,23
@user328,food,1.7,9.4,0.23,168,286,98.8,30,30
@user329,business,3.3,51.9,0.26,4255,7,50.9,11,17
@user330,music,4.7,49.4,0.52,3650,210,35.7,269,22
@user331,music,4.0,51.8,0.81,1740,207,42.0,121,9
@user332,tech,5.5,96.7,0.26,4999,188,30.5,112,40
@user333,tech,2.2,12.1,0.68,4584,267,76.4,81,10
@user334,music,5.8,95.7,0.58,2175,39,29.0,211,39
@user335,fitness,1.7,93.0,0.7,960,110,98.8,196,43
@user336,art,1.6,66.3,0.93,2436,279,105.0,85,29
@user337,fashion,4.0,55.1,0.55,1518,47,42.0,167,50
@user338,fashion,4.9,62.0,0.85,4324,77,34.3,52,37
@user339,travel,5.6,70.3,0.46,1693,8,30.0,263,27
@user340,art,4.5,49.8,0.6,4102,68,37.3,56,42
@user341,fitness,0.8,41.1,0.67,1310,137,210.0,105,21
@user342,food,0.8,27.9,0.75,3750,285,210.0,113,32
@user343,food,2.5,38.0,0.34,2266,269,67.2,276,28
@user344,music,3.6,4.5,0.58,3779,262,46.7,276,9
@user345,business,3.7,7.7,0.2,4462,45,45.4,229,38
@user346,tech,3.0,95.5,0.98,3185,203,56.0,85,37
@user347,travel,1.7,7.3,0.64,3991,91,98.8,261,17
@user348,art,6.2,77.6,0.08,1415,174,27.1,20,6
@user349,art,4.0,43.4,0.22,2420,191,42.0,152,41
@user350,business,4.2,13.4,0.58,2500,26,40.0,268,31
@user351,fitness,4.5,18.9,0.86,448,67,37.3,246,8
@user352,fitness,3.8,62.4,0.74,4303,273,44.2,91,40
@user353,fitness,3.3,85.5,0.31,1167,152,50.9,86,21
@user354,business,4.6,12.8,0.94,3940,128,36.5,34,50
@user355,travel,4.4,18.6,0.05,3230,76,38.2,102,48
@user356,music,6.5,76.7,0.69,2528,290,25.8,245,8
@user357,business,4.6,63.9,0.71,414,292,36.5,237,24
@user358,fashion,5.4,79.1,0.83,4569,292,31.1,85,29
@user359,music,2.9,19.5,0.33,1436,278,57.9,82,10
@user360,fitness,4.0,89.3,0.22,745,175,42.0,176,43
@user361,fashion,2.5,92.1,0.5,4059,36,67.2,245,13
@user362,business,5.8,99.9,0.39,1314,101,29.0,13,31
@user363,music,5.2,63.4,0.76,3099,48,32.3,159,24
@user364,music,0.6,98.9,0.06,2099,103,280.0,133,35
@user365,music,4.7,35.6,0.38,1464,174,35.7,300,32
@user366,art,2.4,54.3,0.72,2237,263,70.0,273,10
@user367,travel,4.9,68.9,0.26,841,232,34.3,28,28
@user368,travel,7.0,96.6,0.77,2441,227,24.0,236,23
@user369,fashion,5.1,35.5,0.98,3318,21,32.9,107,25
@user370,art,6.8,48.4,0.64,4695,104,24.7,22,33
@user371,music,0.7,30.3,0.21,2703,146,240.0,25,19
@user372,fitness,6.2,58.4,0.08,3420,54,27.1,27,11
@user373,tech,0.7,63.7,0.45,2512,154,240.0,86,32
@user374,food,5.7,62.0,0.72,1804,293,29.5,162,10
@user375,tech,3.8,34.0,0.78,1618,260,44.2,24,9
@user376,food,3.2,46.4,0.26,2477,241,52.5,208,12
@user377,fashion,1.3,60.5,0.44,1181,206,129.2,104,24
@user378,tech,6.5,26.4,0.42,1231,112,25.8,167,25
@user379,tech,1.2,41.0,0.76,3541,18,140.0,175,8
@user380,art,2.6,54.5,0.67,2876,291,64.6,159,35
@user381,art,3.3,10.1,0.82,2649,232,50.9,290,41
@user382,art,3.7,1.9,0.7,1525,130,45.4,257,6
@user383,travel,2.7,60.6,0.08,2938,215,62.2,231,44
@user384,art,3.8,82.5,0.4,3048,110,44.2,121,47
@user385,fitness,4.9,22.4,0.92,3375,9,34.3,115,31
@user386,business,2.8,54.0,0.47,1316,69,60.0,262,22
@user387,food,6.0,16.3,0.37,4242,195,28.0,120,41
@user388,travel,5.0,60.5,0.18,585,258,33.6,27,50
@user389,art,5.3,56.1,0.89,1744,167,31.7,268,44
@user390,fitness,5.6,50.6,0.28,3870,225,30.0,204,35
@user391,music,6.8,5.3,0.96,4571,273,24.7,123,3
@user392,fashion,0.9,73.8,0.32,596,185,186.7,56,45
@user393,tech,6.7,78.8,0.36,1760,86,25.1,109,34
@user394,tech,0.9,66.8,0.06,4145,189,186.7,71,38
@user395,fitness,2.5,81.8,0.3,1835,228,67.2,286,25
@user396,fashion,0.9,17.9,0.24,4689,207,186.7,73,4
@user397,tech,6.2,97.8,0.15,3077,249,27.1,266,38
@user398,food,1.1,94.1,0.99,2127,137,152.7,226,18
@user399,fashion,1.3,8.5,0.2,2666,70,129.2,209,35
@user400,fitness,6.9,39.7,0.39,4926,67,24.3,140,25
@user401,music,4.6,1.7,0.99,2342,51,36.5,228,33
@user402,tech,2.0,76.1,0.76,1510,97,84.0,282,9
@user403,business,2.6,17.1,0.63,1694,244,64.6,114,40
@user404,fitness,3.5,24.3,0.9,264,38,48.0,296,9
@user405,food,5.1,6.3,0.29,2985,8,32.9,276,31
@user406,art,1.7,30.5,0.33,2673,129,98.8,250,18
@user407,fitness,5.9,36.6,0.31,4144,28,28.5,299,38
@user408,tech,2.7,17.3,0.16,1610,37,62.2,128,14
@user409,food,2.6,45.6,0.97,4406,42,64.6,109,16
@user410,art,2.6,80.5,0.1,3470,139,64.6,240,2
@user411,business,2.9,42.3,0.21,4120,19,57.9,205,10
@user412,business,6.3,16.8,0.19,482,279,26.7,202,5
@user413,travel,2.1,53.1,0.92,4019,31,80.0,19,38
@user414,travel,4.2,25.3,0.75,3142,10,40.0,23,17
@user415,fashion,3.3,56.6,0.12,4796,270,50.9,91,19
@user416,business,6.3,40.5,0.74,793,245,26.7,236,37
@user417,music,6.0,68.8,0.35,314,7,28.0,109,15
@user418,business,5.0,76.3,0.78,2090,100,33.6,91,3
@user419,music,5.8,78.8,0.72,4149,293,29.0,35,11
@user420,fashion,5.2,51.3,0.98,947,147,32.3,265,40
@user421,business,5.9,74.0,0.86,174,141,28.5,34,13
@user422,art,1.6,1.8,0.84,2203,21,105.0,58,15
@user423,travel,3.7,74.9,0.66,834,292,45.4,279,24
@user424,music,4.4,11.3,0.21,2006,142,38.2,184,31
@user425,food,3.0,48.2,0.52,3195,125,56.0,112,6
@user426,travel,2.2,9.9,0.65,4084,145,76.4,85,10
@user427,travel,3.0,84.5,0.68,4771,147,56.0,134,27
@user428,food,3.1,42.7,0.64,733,162,54.2,70,32
@user429,art,5.0,72.9,0.47,559,195,33.6,72,29
@user430,music,5.3,11.9,0.36,4444,115,31.7,23,34
@user431,fashion,6.4,53.5,0.98,3737,199,26.2,213,48
@user432,music,1.4,79.1,0.44,4098,110,120.0,225,22
@user433,art,5.1,75.8,0.29,3987,128,32.9,24,33
@user434,food,4.5,63.0,0.69,3343,32,37.3,43,12
@user435,fashion,1.5,26.5,0.72,1840,49,112.0,39,22
@user436,business,5.1,47.2,0.18,1900,300,32.9,76,40
@user437,fitness,3.2,43.4,0.07,610,292,52.5,237,36
@user438,business,1.1,33.0,0.23,4012,299,152.7,129,19
